dataset,task,model,capability,failure_rate,mean_AM,mean_CS,mean_EVFS,variant,removed_component,diagnostic_completeness
imdb,sentiment,bert,entity_invariance,0.0,0.0,0.0017901360988616943,0.0,Full X-CheckList,None,1.0
imdb,sentiment,bert,entity_invariance,0.0,,0.0017901360988616943,0.0,Without Attribution,Attribution/AM,0.75
imdb,sentiment,bert,entity_invariance,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
imdb,sentiment,bert,entity_invariance,0.0,0.0,0.0017901360988616943,,Without EVFS,EVFS,0.75
imdb,sentiment,bert,entity_invariance,0.0,0.0,0.0017901360988616943,0.0,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,bert,negation,0.0,0.0,0.9583657954033697,0.0,Full X-CheckList,None,1.0
imdb,sentiment,bert,negation,0.0,,0.9583657954033697,0.0,Without Attribution,Attribution/AM,0.75
imdb,sentiment,bert,negation,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
imdb,sentiment,bert,negation,0.0,0.0,0.9583657954033697,,Without EVFS,EVFS,0.75
imdb,sentiment,bert,negation,0.0,0.0,0.9583657954033697,0.0,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,bert,robustness,0.12,0.06,0.04317819542552267,0.00767924882893567,Full X-CheckList,None,1.0
imdb,sentiment,bert,robustness,0.12,,0.04317819542552267,0.00767924882893567,Without Attribution,Attribution/AM,0.75
imdb,sentiment,bert,robustness,0.12,0.06,,0.00767924882893567,Without Counterfactual Validation,CS,0.75
imdb,sentiment,bert,robustness,0.12,0.06,0.04317819542552267,,Without EVFS,EVFS,0.75
imdb,sentiment,bert,robustness,0.12,0.06,0.04317819542552267,0.00767924882893567,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,bert,temporal_sentiment,0.0,0.0,0.9586268866478349,0.0,Full X-CheckList,None,1.0
imdb,sentiment,bert,temporal_sentiment,0.0,,0.9586268866478349,0.0,Without Attribution,Attribution/AM,0.75
imdb,sentiment,bert,temporal_sentiment,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
imdb,sentiment,bert,temporal_sentiment,0.0,0.0,0.9586268866478349,,Without EVFS,EVFS,0.75
imdb,sentiment,bert,temporal_sentiment,0.0,0.0,0.9586268866478349,0.0,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,distilbert,entity_invariance,0.0,0.0,0.0009478926658630371,0.0,Full X-CheckList,None,1.0
imdb,sentiment,distilbert,entity_invariance,0.0,,0.0009478926658630371,0.0,Without Attribution,Attribution/AM,0.75
imdb,sentiment,distilbert,entity_invariance,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
imdb,sentiment,distilbert,entity_invariance,0.0,0.0,0.0009478926658630371,,Without EVFS,EVFS,0.75
imdb,sentiment,distilbert,entity_invariance,0.0,0.0,0.0009478926658630371,0.0,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,distilbert,negation,0.35,0.27684204121672495,0.6394840324879624,0.23644263022800205,Full X-CheckList,None,1.0
imdb,sentiment,distilbert,negation,0.35,,0.6394840324879624,0.23644263022800205,Without Attribution,Attribution/AM,0.75
imdb,sentiment,distilbert,negation,0.35,0.27684204121672495,,0.23644263022800205,Without Counterfactual Validation,CS,0.75
imdb,sentiment,distilbert,negation,0.35,0.27684204121672495,0.6394840324879624,,Without EVFS,EVFS,0.75
imdb,sentiment,distilbert,negation,0.35,0.27684204121672495,0.6394840324879624,0.23644263022800205,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,distilbert,robustness,0.17333333333333334,0.08666666666666667,0.04378161002726604,0.007787210105452687,Full X-CheckList,None,1.0
imdb,sentiment,distilbert,robustness,0.17333333333333334,,0.04378161002726604,0.007787210105452687,Without Attribution,Attribution/AM,0.75
imdb,sentiment,distilbert,robustness,0.17333333333333334,0.08666666666666667,,0.007787210105452687,Without Counterfactual Validation,CS,0.75
imdb,sentiment,distilbert,robustness,0.17333333333333334,0.08666666666666667,0.04378161002726604,,Without EVFS,EVFS,0.75
imdb,sentiment,distilbert,robustness,0.17333333333333334,0.08666666666666667,0.04378161002726604,0.007787210105452687,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,distilbert,temporal_sentiment,0.0,0.0,0.7592567836400121,0.0,Full X-CheckList,None,1.0
imdb,sentiment,distilbert,temporal_sentiment,0.0,,0.7592567836400121,0.0,Without Attribution,Attribution/AM,0.75
imdb,sentiment,distilbert,temporal_sentiment,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
imdb,sentiment,distilbert,temporal_sentiment,0.0,0.0,0.7592567836400121,,Without EVFS,EVFS,0.75
imdb,sentiment,distilbert,temporal_sentiment,0.0,0.0,0.7592567836400121,0.0,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,roberta,entity_invariance,0.0,0.0,0.010249212384223938,0.0,Full X-CheckList,None,1.0
imdb,sentiment,roberta,entity_invariance,0.0,,0.010249212384223938,0.0,Without Attribution,Attribution/AM,0.75
imdb,sentiment,roberta,entity_invariance,0.0,0.0,,0.0,Without Counterfactual Validation,CS,0.75
imdb,sentiment,roberta,entity_invariance,0.0,0.0,0.010249212384223938,,Without EVFS,EVFS,0.75
imdb,sentiment,roberta,entity_invariance,0.0,0.0,0.010249212384223938,0.0,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,roberta,negation,0.15,0.12312337038218993,0.778663748622057,0.088068267711862,Full X-CheckList,None,1.0
imdb,sentiment,roberta,negation,0.15,,0.778663748622057,0.088068267711862,Without Attribution,Attribution/AM,0.75
imdb,sentiment,roberta,negation,0.15,0.12312337038218993,,0.088068267711862,Without Counterfactual Validation,CS,0.75
imdb,sentiment,roberta,negation,0.15,0.12312337038218993,0.778663748622057,,Without EVFS,EVFS,0.75
imdb,sentiment,roberta,negation,0.15,0.12312337038218993,0.778663748622057,0.088068267711862,Without Failure Reason Rules,Reason inference,0.8
imdb,sentiment,roberta,robustness,0.08333333333333333,0.041666666666666664,0.0236390758282505,0.0025587112569094945,Full X-CheckList,None,1.0
imdb,sentiment,roberta,robustness,0.08333333333333333,,0.0236390758282505,0.0025587112569094945,Without Attribution,Attribution/AM,0.75
imdb,sentiment,roberta,robustness,0.08333333333333333,0.041666666666666664,,0.0025587112569094945,Without Counterfactual Validation,CS,0.75
