method,dataset,task,model,capability,failure_detection,attribution_evidence,counterfactual_validation,evfs_available,failure_reason,failure_rate,mean_AM,mean_CS,mean_EVFS,diagnostic_coverage_score
Standard CheckList,imdb,sentiment,bert,entity_invariance,True,False,False,False,no,0.0,,,,0.2
CheckList + Attribution,imdb,sentiment,bert,entity_invariance,True,True,False,False,partial,0.0,0.0,,,0.5
CheckList + Counterfactual,imdb,sentiment,bert,entity_invariance,True,False,True,False,partial,0.0,,0.0017901360988616943,,0.5
X-CheckList,imdb,sentiment,bert,entity_invariance,True,True,True,True,yes,0.0,0.0,0.0017901360988616943,0.0,1.0
Standard CheckList,imdb,sentiment,bert,negation,True,False,False,False,no,0.0,,,,0.2
CheckList + Attribution,imdb,sentiment,bert,negation,True,True,False,False,partial,0.0,0.0,,,0.5
CheckList + Counterfactual,imdb,sentiment,bert,negation,True,False,True,False,partial,0.0,,0.9583657954033697,,0.5
X-CheckList,imdb,sentiment,bert,negation,True,True,True,True,yes,0.0,0.0,0.9583657954033697,0.0,1.0
Standard CheckList,imdb,sentiment,bert,robustness,True,False,False,False,no,0.12,,,,0.2
CheckList + Attribution,imdb,sentiment,bert,robustness,True,True,False,False,partial,0.12,0.06,,,0.5
CheckList + Counterfactual,imdb,sentiment,bert,robustness,True,False,True,False,partial,0.12,,0.04317819542552267,,0.5
X-CheckList,imdb,sentiment,bert,robustness,True,True,True,True,yes,0.12,0.06,0.04317819542552267,0.00767924882893567,1.0
Standard CheckList,imdb,sentiment,bert,temporal_sentiment,True,False,False,False,no,0.0,,,,0.2
CheckList + Attribution,imdb,sentiment,bert,temporal_sentiment,True,True,False,False,partial,0.0,0.0,,,0.5
CheckList + Counterfactual,imdb,sentiment,bert,temporal_sentiment,True,False,True,False,partial,0.0,,0.9586268866478349,,0.5
X-CheckList,imdb,sentiment,bert,temporal_sentiment,True,True,True,True,yes,0.0,0.0,0.9586268866478349,0.0,1.0
Standard CheckList,imdb,sentiment,distilbert,entity_invariance,True,False,False,False,no,0.0,,,,0.2
CheckList + Attribution,imdb,sentiment,distilbert,entity_invariance,True,True,False,False,partial,0.0,0.0,,,0.5
CheckList + Counterfactual,imdb,sentiment,distilbert,entity_invariance,True,False,True,False,partial,0.0,,0.0009478926658630371,,0.5
X-CheckList,imdb,sentiment,distilbert,entity_invariance,True,True,True,True,yes,0.0,0.0,0.0009478926658630371,0.0,1.0
Standard CheckList,imdb,sentiment,distilbert,negation,True,False,False,False,no,0.35,,,,0.2
CheckList + Attribution,imdb,sentiment,distilbert,negation,True,True,False,False,partial,0.35,0.27684204121672495,,,0.5
CheckList + Counterfactual,imdb,sentiment,distilbert,negation,True,False,True,False,partial,0.35,,0.6394840324879624,,0.5
X-CheckList,imdb,sentiment,distilbert,negation,True,True,True,True,yes,0.35,0.27684204121672495,0.6394840324879624,0.23644263022800205,1.0
Standard CheckList,imdb,sentiment,distilbert,robustness,True,False,False,False,no,0.17333333333333334,,,,0.2
CheckList + Attribution,imdb,sentiment,distilbert,robustness,True,True,False,False,partial,0.17333333333333334,0.08666666666666667,,,0.5
CheckList + Counterfactual,imdb,sentiment,distilbert,robustness,True,False,True,False,partial,0.17333333333333334,,0.04378161002726604,,0.5
X-CheckList,imdb,sentiment,distilbert,robustness,True,True,True,True,yes,0.17333333333333334,0.08666666666666667,0.04378161002726604,0.007787210105452687,1.0
Standard CheckList,imdb,sentiment,distilbert,temporal_sentiment,True,False,False,False,no,0.0,,,,0.2
CheckList + Attribution,imdb,sentiment,distilbert,temporal_sentiment,True,True,False,False,partial,0.0,0.0,,,0.5
CheckList + Counterfactual,imdb,sentiment,distilbert,temporal_sentiment,True,False,True,False,partial,0.0,,0.7592567836400121,,0.5
X-CheckList,imdb,sentiment,distilbert,temporal_sentiment,True,True,True,True,yes,0.0,0.0,0.7592567836400121,0.0,1.0
Standard CheckList,imdb,sentiment,roberta,entity_invariance,True,False,False,False,no,0.0,,,,0.2
CheckList + Attribution,imdb,sentiment,roberta,entity_invariance,True,True,False,False,partial,0.0,0.0,,,0.5
CheckList + Counterfactual,imdb,sentiment,roberta,entity_invariance,True,False,True,False,partial,0.0,,0.010249212384223938,,0.5
X-CheckList,imdb,sentiment,roberta,entity_invariance,True,True,True,True,yes,0.0,0.0,0.010249212384223938,0.0,1.0
Standard CheckList,imdb,sentiment,roberta,negation,True,False,False,False,no,0.15,,,,0.2
CheckList + Attribution,imdb,sentiment,roberta,negation,True,True,False,False,partial,0.15,0.12312337038218993,,,0.5
CheckList + Counterfactual,imdb,sentiment,roberta,negation,True,False,True,False,partial,0.15,,0.778663748622057,,0.5
X-CheckList,imdb,sentiment,roberta,negation,True,True,True,True,yes,0.15,0.12312337038218993,0.778663748622057,0.088068267711862,1.0
