test_id,dataset,task,input_text,sentence1,sentence2,expected_label,capability,relation,counterfactual_text,cf_sentence1,cf_sentence2,counterfactual_expected_label,expected_cues,misleading_cues,source,metadata,model,model_checkpoint,predicted_label,predicted_label_id,raw_predicted_label,confidence,probabilities_json,probabilities_by_label_json,fail_status,cf_predicted_label,cf_confidence,cf_probabilities_json,cf_probabilities_by_label_json,cf_fail_status,CS,AM,cue_attribution_ratio,EVFS,explanation_method,top_attribution_tokens,failure_reason
mnli_contr_0001,mnli,nli,The child is sleeping. [SEP] The child is not sleeping.,The child is sleeping.,The child is not sleeping.,CONTRADICTION,contradiction,directional,,The child is sleeping.,The child is sleeping.,ENTAILMENT,"['no', 'not', 'nobody']","['playing', 'sleeping', 'outdoors', 'sitting']",template,{},bert,textattack/bert-base-uncased-MNLI,ENTAILMENT,0,LABEL_0,0.9857670068740845,"[0.9857670068740845, 0.009323152713477612, 0.004909916315227747]","{""ENTAILMENT"": 0.9857670068740845, ""NEUTRAL"": 0.009323152713477612, ""CONTRADICTION"": 0.004909916315227747}",1,NEUTRAL,0.9953699707984924,"[0.0008619595319032669, 0.9953699707984924, 0.0037680435925722122]","{""ENTAILMENT"": 0.0008619595319032669, ""NEUTRAL"": 0.9953699707984924, ""CONTRADICTION"": 0.0037680435925722122}",1,0.0011418727226555347,0.9301647907930162,0.06983520920698384,0.929102660990835,gradient,"[[""sleeping"", 0.6195905351026892], [""child"", 0.17813967391384855], [""is"", 0.0881428325511265], [""not"", 0.06983520920698384], [""the"", 0.044291749225351874]]","Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.93, CS=0.00; top tokens: sleeping:0.62, child:0.18, is:0.09, not:0.07, the:0.04."
snli_contr_0001,snli,nli,The child is sleeping. [SEP] The child is not sleeping.,The child is sleeping.,The child is not sleeping.,CONTRADICTION,contradiction,directional,,The child is sleeping.,The child is sleeping.,ENTAILMENT,"['no', 'not', 'nobody']","['playing', 'sleeping', 'outdoors', 'sitting']",template,{},bert,textattack/bert-base-uncased-MNLI,ENTAILMENT,0,LABEL_0,0.9857668876647949,"[0.9857668876647949, 0.009323164820671082, 0.004909918177872896]","{""ENTAILMENT"": 0.9857668876647949, ""NEUTRAL"": 0.009323164820671082, ""CONTRADICTION"": 0.004909918177872896}",1,NEUTRAL,0.9953699707984924,"[0.0008619586587883532, 0.9953699707984924, 0.003768045222386718]","{""ENTAILMENT"": 0.0008619586587883532, ""NEUTRAL"": 0.9953699707984924, ""CONTRADICTION"": 0.003768045222386718}",1,0.0011418729554861784,0.9301647907930162,0.06983520920698384,0.9291026607742642,gradient,"[[""sleeping"", 0.6195905351026892], [""child"", 0.17813967391384855], [""is"", 0.0881428325511265], [""not"", 0.06983520920698384], [""the"", 0.044291749225351874]]","Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.93, CS=0.00; top tokens: sleeping:0.62, child:0.18, is:0.09, not:0.07, the:0.04."
snli_contr_0002,snli,nli,A man is outdoors. [SEP] A man is not outdoors.,A man is outdoors.,A man is not outdoors.,CONTRADICTION,contradiction,directional,,A man is outdoors.,A man is outdoors.,ENTAILMENT,"['no', 'not', 'nobody']","['playing', 'sleeping', 'outdoors', 'sitting']",template,{},bert,textattack/bert-base-uncased-MNLI,ENTAILMENT,0,LABEL_0,0.9893339276313782,"[0.9893339276313782, 0.0055060493759810925, 0.005160063970834017]","{""ENTAILMENT"": 0.9893339276313782, ""NEUTRAL"": 0.0055060493759810925, ""CONTRADICTION"": 0.005160063970834017}",1,NEUTRAL,0.9950927495956421,"[0.00037232492468319833, 0.9950927495956421, 0.004534942097961903]","{""ENTAILMENT"": 0.00037232492468319833, ""NEUTRAL"": 0.9950927495956421, ""CONTRADICTION"": 0.004534942097961903}",1,0.0006251218728721142,0.9193816698749832,0.08061833012501689,0.9188069442836266,gradient,"[[""outdoors"", 0.6826229841228785], [""man"", 0.09379142538569282], [""is"", 0.08123054509779594], [""not"", 0.08061833012501689], [""a"", 0.06173671526861592]]","Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.92, CS=0.00; top tokens: outdoors:0.68, man:0.09, is:0.08, not:0.08, a:0.06."
mnli_contr_0002,mnli,nli,A man is outdoors. [SEP] A man is not outdoors.,A man is outdoors.,A man is not outdoors.,CONTRADICTION,contradiction,directional,,A man is outdoors.,A man is outdoors.,ENTAILMENT,"['no', 'not', 'nobody']","['playing', 'sleeping', 'outdoors', 'sitting']",template,{},bert,textattack/bert-base-uncased-MNLI,ENTAILMENT,0,LABEL_0,0.9893339276313782,"[0.9893339276313782, 0.0055060493759810925, 0.00516006164252758]","{""ENTAILMENT"": 0.9893339276313782, ""NEUTRAL"": 0.0055060493759810925, ""CONTRADICTION"": 0.00516006164252758}",1,NEUTRAL,0.9950927495956421,"[0.00037232437171041965, 0.9950927495956421, 0.004534939769655466]","{""ENTAILMENT"": 0.00037232437171041965, ""NEUTRAL"": 0.9950927495956421, ""CONTRADICTION"": 0.004534939769655466}",1,0.0006251218728721142,0.9193816698749832,0.08061833012501689,0.9188069442836266,gradient,"[[""outdoors"", 0.6826229841228785], [""man"", 0.09379142538569282], [""is"", 0.08123054509779594], [""not"", 0.08061833012501689], [""a"", 0.06173671526861592]]","Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.92, CS=0.00; top tokens: outdoors:0.68, man:0.09, is:0.08, not:0.08, a:0.06."
mnli_lex_0003,mnli,nli,The cat is above the box. [SEP] The box is above the cat.,The cat is above the box.,The box is above the cat.,NEUTRAL,lexical_overlap,directional,,The cat is above the box.,The cat is above the box.,ENTAILMENT,"['chasing', 'helping', 'following', 'above']","['the', 'is', 'above']",template,{},roberta,roberta-large-mnli,CONTRADICTION,0,CONTRADICTION,0.9940529465675354,"[0.9940529465675354, 0.0027879595290869474, 0.003159049665555358]","{""CONTRADICTION"": 0.9940529465675354, ""NEUTRAL"": 0.0027879595290869474, ""ENTAILMENT"": 0.003159049665555358}",1,ENTAILMENT,0.9928211569786072,"[0.002442526863887906, 0.004736229311674833, 0.9928211569786072]","{""CONTRADICTION"": 0.002442526863887906, ""NEUTRAL"": 0.004736229311674833, ""ENTAILMENT"": 0.9928211569786072}",0,0.0019482697825878859,0.8183100189314748,0.18168998106852516,0.8167157302488017,gradient,"[[""box"", 0.3117218540523492], [""cat"", 0.22430154612955858], [""the"", 0.18276043201092249], [""above"", 0.18168998106852516], [""is"", 0.09952618673864459]]","Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.82, CS=0.00; top tokens: box:0.31, cat:0.22, the:0.18, above:0.18, is:0.10."
snli_lex_0003,snli,nli,The cat is above the box. [SEP] The box is above the cat.,The cat is above the box.,The box is above the cat.,NEUTRAL,lexical_overlap,directional,,The cat is above the box.,The cat is above the box.,ENTAILMENT,"['chasing', 'helping', 'following', 'above']","['the', 'is', 'above']",template,{},roberta,roberta-large-mnli,CONTRADICTION,0,CONTRADICTION,0.9940529465675354,"[0.9940529465675354, 0.0027879567351192236, 0.003159046871587634]","{""CONTRADICTION"": 0.9940529465675354, ""NEUTRAL"": 0.0027879567351192236, ""ENTAILMENT"": 0.003159046871587634}",1,ENTAILMENT,0.9928211569786072,"[0.0024425259325653315, 0.004736226983368397, 0.9928211569786072]","{""CONTRADICTION"": 0.0024425259325653315, ""NEUTRAL"": 0.004736226983368397, ""ENTAILMENT"": 0.9928211569786072}",0,0.0019482702482491732,0.8183100189314748,0.18168998106852516,0.8167157298677464,gradient,"[[""box"", 0.3117218540523492], [""cat"", 0.22430154612955858], [""the"", 0.18276043201092249], [""above"", 0.18168998106852516], [""is"", 0.09952618673864459]]","Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.82, CS=0.00; top tokens: box:0.31, cat:0.22, the:0.18, above:0.18, is:0.10."
mnli_contr_0000,mnli,nli,A person is playing guitar. [SEP] No person is playing guitar.,A person is playing guitar.,No person is playing guitar.,CONTRADICTION,contradiction,directional,,A person is playing guitar.,A person is playing guitar.,ENTAILMENT,"['no', 'not', 'nobody']","['playing', 'sleeping', 'outdoors', 'sitting']",template,{},bert,textattack/bert-base-uncased-MNLI,ENTAILMENT,0,LABEL_0,0.9993878602981567,"[0.9993878602981567, 0.00018662084767129272, 0.0004255308012943715]","{""ENTAILMENT"": 0.9993878602981567, ""NEUTRAL"": 0.00018662084767129272, ""CONTRADICTION"": 0.0004255308012943715}",1,NEUTRAL,0.9964229464530945,"[0.00027289113495498896, 0.9964229464530945, 0.0033041471615433693]","{""ENTAILMENT"": 0.00027289113495498896, ""NEUTRAL"": 0.9964229464530945, ""CONTRADICTION"": 0.0033041471615433693}",1,0.002878616360248998,0.8188149731211257,0.1811850268788743,0.8164579189434824,gradient,"[[""guitar"", 0.25957288504763215], [""person"", 0.21626431756306203], [""no"", 0.1811850268788743], [""playing"", 0.16369566109100026], [""is"", 0.10723099993743011], [""a"", 0.07205110948200115]]","Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.82, CS=0.00; top tokens: guitar:0.26, person:0.22, no:0.18, playing:0.16, is:0.11."
snli_contr_0000,snli,nli,A person is playing guitar. [SEP] No person is playing guitar.,A person is playing guitar.,No person is playing guitar.,CONTRADICTION,contradiction,directional,,A person is playing guitar.,A person is playing guitar.,ENTAILMENT,"['no', 'not', 'nobody']","['playing', 'sleeping', 'outdoors', 'sitting']",template,{},bert,textattack/bert-base-uncased-MNLI,ENTAILMENT,0,LABEL_0,0.9993878602981567,"[0.9993878602981567, 0.00018662084767129272, 0.0004255308012943715]","{""ENTAILMENT"": 0.9993878602981567, ""NEUTRAL"": 0.00018662084767129272, ""CONTRADICTION"": 0.0004255308012943715}",1,NEUTRAL,0.9964229464530945,"[0.00027289113495498896, 0.9964229464530945, 0.003304152050986886]","{""ENTAILMENT"": 0.00027289113495498896, ""NEUTRAL"": 0.9964229464530945, ""CONTRADICTION"": 0.003304152050986886}",1,0.0028786212496925145,0.8188149731211257,0.1811850268788743,0.8164579149399328,gradient,"[[""guitar"", 0.25957288504763215], [""person"", 0.21626431756306203], [""no"", 0.1811850268788743], [""playing"", 0.16369566109100026], [""is"", 0.10723099993743011], [""a"", 0.07205110948200115]]","Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.82, CS=0.00; top tokens: guitar:0.26, person:0.22, no:0.18, playing:0.16, is:0.11."
mrpc_word_0001,mrpc,paraphrase,Is Paris larger than Lyon? [SEP] Is Lyon larger than Paris?,Is Paris larger than Lyon?,Is Lyon larger than Paris?,NOT_EQUIVALENT,word_order_sensitivity,directional,,Is Paris larger than Lyon?,Is Paris larger than Lyon?,EQUIVALENT,"['chase', 'larger', 'teach']","['than', 'is', 'larger']",template,{},roberta,textattack/roberta-base-MRPC,EQUIVALENT,1,LABEL_1,0.997165858745575,"[0.0028340923599898815, 0.997165858745575]","{""NOT_EQUIVALENT"": 0.0028340923599898815, ""EQUIVALENT"": 0.997165858745575}",1,EQUIVALENT,0.9973493814468384,"[0.0026506660506129265, 0.9973493814468384]","{""NOT_EQUIVALENT"": 0.0026506660506129265, ""EQUIVALENT"": 0.9973493814468384}",0,0.00018342630937695503,0.7839009696991288,0.21609903030087121,0.7837571816373399,gradient,"[[""lyon"", 0.24864565119874654], [""paris"", 0.21780820920601043], [""larger"", 0.21609903030087121], [""is"", 0.18653245509426686], [""than"", 0.13091465420010498]]","Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.78, CS=0.00; top tokens: lyon:0.25, paris:0.22, larger:0.22, is:0.19, than:0.13."
mrpc_word_0000,mrpc,paraphrase,Can a dog chase a cat? [SEP] Can a cat chase a dog?,Can a dog chase a cat?,Can a cat chase a dog?,NOT_EQUIVALENT,word_order_sensitivity,directional,,Can a dog chase a cat?,Can a dog chase a cat?,EQUIVALENT,"['chase', 'larger', 'teach']","['can', 'a', 'chase']",template,{},bert,textattack/bert-base-uncased-MRPC,EQUIVALENT,1,LABEL_1,0.9921616911888123,"[0.00783830601722002, 0.9921616911888123]","{""NOT_EQUIVALENT"": 0.00783830601722002, ""EQUIVALENT"": 0.9921616911888123}",1,EQUIVALENT,0.9920746088027954,"[0.007925435900688171, 0.9920746088027954]","{""NOT_EQUIVALENT"": 0.007925435900688171, ""EQUIVALENT"": 0.9920746088027954}",0,8.712988346815109e-05,0.7817309489449449,0.21826905105505512,0.7816628368184598,gradient,"[[""dog"", 0.2279832525445784], [""cat"", 0.22100074227988215], [""chase"", 0.21826905105505512], [""can"", 0.17466376483350796], [""a"", 0.15808318928697634]]","Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.78, CS=0.00; top tokens: dog:0.23, cat:0.22, chase:0.22, can:0.17, a:0.16."
qqp_word_0000,qqp,paraphrase,Can a dog chase a cat? [SEP] Can a cat chase a dog?,Can a dog chase a cat?,Can a cat chase a dog?,NOT_EQUIVALENT,word_order_sensitivity,directional,,Can a dog chase a cat?,Can a dog chase a cat?,EQUIVALENT,"['chase', 'larger', 'teach']","['can', 'a', 'chase']",template,{},distilbert,textattack/distilbert-base-uncased-QQP,EQUIVALENT,1,LABEL_1,0.8045336604118347,"[0.1954662799835205, 0.8045336604118347]","{""NOT_EQUIVALENT"": 0.1954662799835205, ""EQUIVALENT"": 0.8045336604118347}",1,EQUIVALENT,0.8168420791625977,"[0.18315792083740234, 0.8168420791625977]","{""NOT_EQUIVALENT"": 0.18315792083740234, ""EQUIVALENT"": 0.8168420791625977}",0,0.012308359146118164,0.7830454355648658,0.2169545644351342,0.7734074311162049,gradient,"[[""a"", 0.2217839197915379], [""chase"", 0.2169545644351342], [""cat"", 0.20735588460259358], [""can"", 0.1824872704483939], [""dog"", 0.17141836072234043]]","Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.78, CS=0.01; top tokens: a:0.22, chase:0.22, cat:0.21, can:0.18, dog:0.17."
mnli_lex_0002,mnli,nli,A teacher is following a student. [SEP] A student is following a teacher.,A teacher is following a student.,A student is following a teacher.,NEUTRAL,lexical_overlap,directional,,A teacher is following a student.,A teacher is following a student.,ENTAILMENT,"['chasing', 'helping', 'following', 'above']","['is', 'a', 'following']",template,{},distilbert,typeform/distilbert-base-uncased-mnli,ENTAILMENT,0,ENTAILMENT,0.9959653615951538,"[0.9959653615951538, 0.0016989103751257062, 0.0023357525933533907]","{""ENTAILMENT"": 0.9959653615951538, ""NEUTRAL"": 0.0016989103751257062, ""CONTRADICTION"": 0.0023357525933533907}",1,ENTAILMENT,0.9966926574707031,"[0.9966926574707031, 0.001582870027050376, 0.0017245191847905517]","{""ENTAILMENT"": 0.9966926574707031, ""NEUTRAL"": 0.001582870027050376, ""CONTRADICTION"": 0.0017245191847905517}",0,0.00011604034807533026,0.7729730225400224,0.22702697745997752,0.7728833264814341,gradient,"[[""teacher"", 0.26944009008632647], [""student"", 0.2607886010740507], [""following"", 0.22702697745997752], [""a"", 0.1506916193962679], [""is"", 0.0920527119833774]]","Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: teacher:0.27, student:0.26, following:0.23, a:0.15, is:0.09."
snli_lex_0002,snli,nli,A teacher is following a student. [SEP] A student is following a teacher.,A teacher is following a student.,A student is following a teacher.,NEUTRAL,lexical_overlap,directional,,A teacher is following a student.,A teacher is following a student.,ENTAILMENT,"['chasing', 'helping', 'following', 'above']","['is', 'a', 'following']",template,{},distilbert,typeform/distilbert-base-uncased-mnli,ENTAILMENT,0,ENTAILMENT,0.9959653615951538,"[0.9959653615951538, 0.0016989095602184534, 0.0023357525933533907]","{""ENTAILMENT"": 0.9959653615951538, ""NEUTRAL"": 0.0016989095602184534, ""CONTRADICTION"": 0.0023357525933533907}",1,ENTAILMENT,0.9966926574707031,"[0.9966926574707031, 0.0015828676987439394, 0.001724514178931713]","{""ENTAILMENT"": 0.9966926574707031, ""NEUTRAL"": 0.0015828676987439394, ""CONTRADICTION"": 0.001724514178931713}",0,0.00011604186147451401,0.7729730225400224,0.22702697745997752,0.7728833253116173,gradient,"[[""teacher"", 0.26944009008632647], [""student"", 0.2607886010740507], [""following"", 0.22702697745997752], [""a"", 0.1506916193962679], [""is"", 0.0920527119833774]]","Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: teacher:0.27, student:0.26, following:0.23, a:0.15, is:0.09."
mrpc_word_0002,mrpc,paraphrase,Did the student teach the professor? [SEP] Did the professor teach the student?,Did the student teach the professor?,Did the professor teach the student?,NOT_EQUIVALENT,word_order_sensitivity,directional,,Did the student teach the professor?,Did the student teach the professor?,EQUIVALENT,"['chase', 'larger', 'teach']","['the', 'did', 'teach']",template,{},roberta,textattack/roberta-base-MRPC,EQUIVALENT,1,LABEL_1,0.9973945617675781,"[0.0026054270565509796, 0.9973945617675781]","{""NOT_EQUIVALENT"": 0.0026054270565509796, ""EQUIVALENT"": 0.9973945617675781}",1,EQUIVALENT,0.9975034594535828,"[0.0024965915363281965, 0.9975034594535828]","{""NOT_EQUIVALENT"": 0.0024965915363281965, ""EQUIVALENT"": 0.9975034594535828}",0,0.00010883552022278309,0.771471113899994,0.22852888610000596,0.7713871504399759,gradient,"[[""teach"", 0.22852888610000596], [""professor"", 0.2069468262536996], [""the"", 0.19713412269481095], [""student"", 0.18825659857928106], [""did"", 0.17913356637220243]]","Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.77, CS=0.00; top tokens: teach:0.23, professor:0.21, the:0.20, student:0.19, did:0.18."
imdb_neg_0019,imdb,sentiment,The movie was not worst.,,,POSITIVE,negation,directional,The movie was worst.,,,NEGATIVE,['not'],['worst'],template,{},distilbert,lvwerra/distilbert-imdb,NEGATIVE,0,NEGATIVE,0.9745790362358093,"[0.9745790362358093, 0.025421036407351494]","{""NEGATIVE"": 0.9745790362358093, ""POSITIVE"": 0.025421036407351494}",1,NEGATIVE,0.9953190684318542,"[0.9953190684318542, 0.004680924583226442]","{""NEGATIVE"": 0.9953190684318542, ""POSITIVE"": 0.004680924583226442}",0,0.02074011182412505,0.7859306041575684,0.2140693958424316,0.7696303155413383,gradient,"[[""worst"", 0.5141215411073324], [""not"", 0.2140693958424316], [""movie"", 0.12345021885256756], [""was"", 0.10159449935932015], [""the"", 0.046764344838348224]]","Negation failure: expected negation cues received insufficient attribution (AM=0.79) and directional CS=0.02; top tokens: worst:0.51, not:0.21, movie:0.12, was:0.10, the:0.05."
snli_lex_0001,snli,nli,The boy is helping the girl. [SEP] The girl is helping the boy.,The boy is helping the girl.,The girl is helping the boy.,NEUTRAL,lexical_overlap,directional,,The boy is helping the girl.,The boy is helping the girl.,ENTAILMENT,"['chasing', 'helping', 'following', 'above']","['the', 'is', 'helping']",template,{},roberta,roberta-large-mnli,CONTRADICTION,0,CONTRADICTION,0.9961270689964294,"[0.9961270689964294, 0.002256296807900071, 0.0016166848363354802]","{""CONTRADICTION"": 0.9961270689964294, ""NEUTRAL"": 0.002256296807900071, ""ENTAILMENT"": 0.0016166848363354802}",1,ENTAILMENT,0.9942622184753418,"[0.0010288016637787223, 0.004708974156528711, 0.9942622184753418]","{""CONTRADICTION"": 0.0010288016637787223, ""NEUTRAL"": 0.004708974156528711, ""ENTAILMENT"": 0.9942622184753418}",0,0.00245267734862864,0.7687928480685885,0.2312071519314115,0.766907247264343,gradient,"[[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]","Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09."
mnli_lex_0001,mnli,nli,The boy is helping the girl. [SEP] The girl is helping the boy.,The boy is helping the girl.,The girl is helping the boy.,NEUTRAL,lexical_overlap,directional,,The boy is helping the girl.,The boy is helping the girl.,ENTAILMENT,"['chasing', 'helping', 'following', 'above']","['the', 'is', 'helping']",template,{},roberta,roberta-large-mnli,CONTRADICTION,0,CONTRADICTION,0.9961270689964294,"[0.9961270689964294, 0.00225628400221467, 0.0016166723798960447]","{""CONTRADICTION"": 0.9961270689964294, ""NEUTRAL"": 0.00225628400221467, ""ENTAILMENT"": 0.0016166723798960447}",1,ENTAILMENT,0.9942622184753418,"[0.001028803177177906, 0.0047089760191738605, 0.9942622184753418]","{""CONTRADICTION"": 0.001028803177177906, ""NEUTRAL"": 0.0047089760191738605, ""ENTAILMENT"": 0.9942622184753418}",0,0.0024526920169591904,0.7687928480685885,0.2312071519314115,0.7669072359874354,gradient,"[[""boy"", 0.25345251483562575], [""girl"", 0.24978522806918277], [""helping"", 0.2312071519314115], [""the"", 0.1716305725682124], [""is"", 0.0939245325955676]]","Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.77, CS=0.00; top tokens: boy:0.25, girl:0.25, helping:0.23, the:0.17, is:0.09."
