sentence,label,idx,dataset,task,text,premise,hypothesis,question1,question2,sentence1,sentence2
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1,794.0,sst2,sentiment,,,,,,,
too much of it feels unfocused and underdeveloped . ,0,319.0,sst2,sentiment,,,,,,,
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,382.0,sst2,sentiment,,,,,,,
"prurient playthings aside , there 's little to love about this english trifle . ",0,779.0,sst2,sentiment,,,,,,,
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1,422.0,sst2,sentiment,,,,,,,
"it proves quite compelling as an intense , brooding character study . ",1,327.0,sst2,sentiment,,,,,,,
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,1,803.0,sst2,sentiment,,,,,,,
looks and feels like a project better suited for the small screen . ,0,136.0,sst2,sentiment,,,,,,,
verbinski implements every hack-artist trick to give us the ooky-spookies . ,0,670.0,sst2,sentiment,,,,,,,
"this is a good script , good dialogue , funny even for adults . ",1,810.0,sst2,sentiment,,,,,,,
a painfully funny ode to bad behavior . ,1,323.0,sst2,sentiment,,,,,,,
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,344.0,sst2,sentiment,,,,,,,
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0,497.0,sst2,sentiment,,,,,,,
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",1,227.0,sst2,sentiment,,,,,,,
"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,44.0,sst2,sentiment,,,,,,,
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,1,404.0,sst2,sentiment,,,,,,,
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",1,210.0,sst2,sentiment,,,,,,,
"beautifully observed , miraculously unsentimental comedy-drama . ",1,428.0,sst2,sentiment,,,,,,,
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",0,444.0,sst2,sentiment,,,,,,,
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,174.0,sst2,sentiment,,,,,,,
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,70.0,sst2,sentiment,,,,,,,
"yes , dull . ",0,462.0,sst2,sentiment,,,,,,,
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",0,465.0,sst2,sentiment,,,,,,,
the second coming of harry potter is a film far superior to its predecessor . ,1,309.0,sst2,sentiment,,,,,,,
"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,66.0,sst2,sentiment,,,,,,,
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0,598.0,sst2,sentiment,,,,,,,
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,23.0,sst2,sentiment,,,,,,,
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,30.0,sst2,sentiment,,,,,,,
there 's no emotional pulse to solaris . ,0,542.0,sst2,sentiment,,,,,,,
"a fast , funny , highly enjoyable movie . ",1,67.0,sst2,sentiment,,,,,,,
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",0,722.0,sst2,sentiment,,,,,,,
an unwise amalgam of broadcast news and vibes . ,0,328.0,sst2,sentiment,,,,,,,
"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ",1,333.0,sst2,sentiment,,,,,,,
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",0,797.0,sst2,sentiment,,,,,,,
it 's hard to imagine alan arkin being better than he is in this performance . ,1,753.0,sst2,sentiment,,,,,,,
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",1,244.0,sst2,sentiment,,,,,,,
"fun , flip and terribly hip bit of cinematic entertainment . ",1,300.0,sst2,sentiment,,,,,,,
the movie fails to live up to the sum of its parts . ,0,76.0,sst2,sentiment,,,,,,,
one of the more intelligent children 's movies to hit theaters this year . ,1,250.0,sst2,sentiment,,,,,,,
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,0,713.0,sst2,sentiment,,,,,,,
the performances take the movie to a higher level . ,1,611.0,sst2,sentiment,,,,,,,
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",0,585.0,sst2,sentiment,,,,,,,
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,1,768.0,sst2,sentiment,,,,,,,
uses high comedy to evoke surprising poignance . ,1,72.0,sst2,sentiment,,,,,,,
it has all the excitement of eating oatmeal . ,0,527.0,sst2,sentiment,,,,,,,
"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",1,567.0,sst2,sentiment,,,,,,,
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",1,294.0,sst2,sentiment,,,,,,,
"an important movie , a reminder of the power of film to move us and to make us examine our values . ",1,640.0,sst2,sentiment,,,,,,,
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,0,526.0,sst2,sentiment,,,,,,,
it 's not the ultimate depression-era gangster movie . ,0,139.0,sst2,sentiment,,,,,,,
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ",1,820.0,sst2,sentiment,,,,,,,
"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ",1,680.0,sst2,sentiment,,,,,,,
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb . ",1,678.0,sst2,sentiment,,,,,,,
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,96.0,sst2,sentiment,,,,,,,
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious . ",1,644.0,sst2,sentiment,,,,,,,
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,1,332.0,sst2,sentiment,,,,,,,
oh come on . ,0,449.0,sst2,sentiment,,,,,,,
"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ",1,316.0,sst2,sentiment,,,,,,,
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0,265.0,sst2,sentiment,,,,,,,
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,120.0,sst2,sentiment,,,,,,,
the wild thornberrys movie is a jolly surprise . ,1,302.0,sst2,sentiment,,,,,,,
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,86.0,sst2,sentiment,,,,,,,
"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars . ",1,696.0,sst2,sentiment,,,,,,,
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",1,39.0,sst2,sentiment,,,,,,,
"a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . ",1,450.0,sst2,sentiment,,,,,,,
"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,192.0,sst2,sentiment,,,,,,,
"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . ",1,634.0,sst2,sentiment,,,,,,,
"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0,568.0,sst2,sentiment,,,,,,,
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",1,231.0,sst2,sentiment,,,,,,,
"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1,362.0,sst2,sentiment,,,,,,,
"the result is a gaudy bag of stale candy , something from a halloween that died . ",0,761.0,sst2,sentiment,,,,,,,
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,1,314.0,sst2,sentiment,,,,,,,
"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",1,215.0,sst2,sentiment,,,,,,,
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ",0,456.0,sst2,sentiment,,,,,,,
"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ",1,483.0,sst2,sentiment,,,,,,,
"forced , familiar and thoroughly condescending . ",0,137.0,sst2,sentiment,,,,,,,
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ",1,198.0,sst2,sentiment,,,,,,,
"scores no points for originality , wit , or intelligence . ",0,110.0,sst2,sentiment,,,,,,,
