annotator_id,method,sample_id,dataset,model,capability,input_text,expected_label,predicted_label,failure_reason,report_text,correctness_1_to_5,understandability_1_to_5,usefulness_1_to_5,actionability_1_to_5,comments
A1,X-CheckList,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,"General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: before:0.16, dying:0.12, things:0.10, three:0.08, should:0.08.","X-CheckList report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""before"", 0.1634258375589216], [""dying"", 0.12243247455830637], [""things"", 0.10265558221681612], [""three"", 0.08196017048152693], [""should"", 0.07941306743119327], [""do"", 0.07656622191109957], [""die"", 0.07282652704068396], [""you"", 0.05292727459697451], [""are"", 0.04373956669554006], [""what"", 0.04143080798245947]]. Counterfactual evidence: counterfactual predicted label=EQUIVALENT, counterfactual fail status=1, CS=0.000. Explanation-Validated Failure Score EVFS=0.000. Diagnostic failure reason: General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: before:0.16, dying:0.12, things:0.10, three:0.08, should:0.08.",,,,,
A2,X-CheckList,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,"General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: before:0.16, dying:0.12, things:0.10, three:0.08, should:0.08.","X-CheckList report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""before"", 0.1634258375589216], [""dying"", 0.12243247455830637], [""things"", 0.10265558221681612], [""three"", 0.08196017048152693], [""should"", 0.07941306743119327], [""do"", 0.07656622191109957], [""die"", 0.07282652704068396], [""you"", 0.05292727459697451], [""are"", 0.04373956669554006], [""what"", 0.04143080798245947]]. Counterfactual evidence: counterfactual predicted label=EQUIVALENT, counterfactual fail status=1, CS=0.000. Explanation-Validated Failure Score EVFS=0.000. Diagnostic failure reason: General diagnostic failure: attribution/counterfactual evidence indicates mismatch (AM=0.50, CS=0.00); top tokens: before:0.16, dying:0.12, things:0.10, three:0.08, should:0.08.",,,,,
A1,Standard CheckList,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,N/A,"Standard CheckList report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A2,Standard CheckList,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,N/A,"Standard CheckList report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. The report identifies this as a failed behavioral test because the predicted label does not match the expected label. No attribution evidence, counterfactual validation, or detailed failure reason is provided.",,,,,
A1,CheckList + Attribution,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,N/A,"CheckList + Attribution report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""before"", 0.1634258375589216], [""dying"", 0.12243247455830637], [""things"", 0.10265558221681612], [""three"", 0.08196017048152693], [""should"", 0.07941306743119327], [""do"", 0.07656622191109957], [""die"", 0.07282652704068396], [""you"", 0.05292727459697451], [""are"", 0.04373956669554006], [""what"", 0.04143080798245947]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A2,CheckList + Attribution,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,N/A,"CheckList + Attribution report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. The report adds token-level attribution evidence. Attribution Mismatch Score AM=0.500; cue attribution ratio=0.000. Top attributed tokens: [[""before"", 0.1634258375589216], [""dying"", 0.12243247455830637], [""things"", 0.10265558221681612], [""three"", 0.08196017048152693], [""should"", 0.07941306743119327], [""do"", 0.07656622191109957], [""die"", 0.07282652704068396], [""you"", 0.05292727459697451], [""are"", 0.04373956669554006], [""what"", 0.04143080798245947]]. This report suggests whether the model focused on expected cues or misleading tokens, but it does not validate the explanation using counterfactual behavior.",,,,,
A1,CheckList + Counterfactual,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,N/A,"CheckList + Counterfactual report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. The counterfactual prediction was EQUIVALENT, with counterfactual fail status=1. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A2,CheckList + Counterfactual,qqp_bench_0202,qqp,bert,semantic_equivalence,What are the three things you have to do before you die? [SEP] What are things that one should do before dying?,NOT_EQUIVALENT,EQUIVALENT,N/A,"CheckList + Counterfactual report: Dataset: qqp. Model: bert. Capability: semantic_equivalence. Relation: invariance. Input: What are the three things you have to do before you die? [SEP] What are things that one should do before dying?. Expected label: NOT_EQUIVALENT. Predicted label: EQUIVALENT. The counterfactual prediction was EQUIVALENT, with counterfactual fail status=1. Counterfactual sensitivity CS=0.000. This report shows whether the model changed under a controlled counterfactual input, but it does not include token-level attribution or a full explanation-validated failure score.",,,,,
A1,X-CheckList,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,"Robustness failure: model was sensitive to typo/noise or surface perturbation; invariance CS=0.13; top tokens: cameo:0.11, bad:0.07, a:0.05, say:0.04, anything:0.04.","X-CheckList report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""cameo"", 0.10507157249447648], [""bad"", 0.06885488615165868], [""a"", 0.05048089929936897], [""say"", 0.03845237651121813], [""anything"", 0.03690007614460166], [""who"", 0.0366970002593613], [""featuring"", 0.036037505142503534], [""film"", 0.031035997349639535], [""fro"", 0.030999848175595684], [""about"", 0.02629619942462761]]. Counterfactual evidence: counterfactual predicted label=NEGATIVE, counterfactual fail status=1, CS=0.126. Explanation-Validated Failure Score EVFS=0.063. Diagnostic failure reason: Robustness failure: model was sensitive to typo/noise or surface perturbation; invariance CS=0.13; top tokens: cameo:0.11, bad:0.07, a:0.05, say:0.04, anything:0.04.",,,,,
A2,X-CheckList,imdb_robust_0088,imdb,roberta,robustness,"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro",POSITIVE,NEGATIVE,"Robustness failure: model was sensitive to typo/noise or surface perturbation; invariance CS=0.13; top tokens: cameo:0.11, bad:0.07, a:0.05, say:0.04, anything:0.04.","X-CheckList report: Dataset: imdb. Model: roberta. Capability: robustness. Relation: invariance. Input: King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo fro. Expected label: POSITIVE. Predicted label: NEGATIVE. Attribution evidence: AM=0.500, cue attribution ratio=0.000, top attributed tokens=[[""cameo"", 0.10507157249447648], [""bad"", 0.06885488615165868], [""a"", 0.05048089929936897], [""say"", 0.03845237651121813], [""anything"", 0.03690007614460166], [""who"", 0.0366970002593613], [""featuring"", 0.036037505142503534], [""film"", 0.031035997349639535], [""fro"", 0.030999848175595684], [""about"", 0.02629619942462761]]. Counterfactual evidence: counterfactual predicted label=NEGATIVE, counterfactual fail status=1, CS=0.126. Explanation-Validated Failure Score EVFS=0.063. Diagnostic failure reason: Robustness failure: model was sensitive to typo/noise or surface perturbation; invariance CS=0.13; top tokens: cameo:0.11, bad:0.07, a:0.05, say:0.04, anything:0.04.",,,,,
