test_id,dataset,task,capability,original,counterfactual,relation,minimality_score,grammaticality_score,label_validity_score,semantic_control_score,auto_quality_mean,human_validated,human_notes
sst2_neg_0000,sst2,sentiment,negation,The movie was not good.,The movie was good.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0001,sst2,sentiment,negation,The movie was not great.,The movie was great.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0002,sst2,sentiment,negation,The movie was not excellent.,The movie was excellent.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0003,sst2,sentiment,negation,The movie was not amazing.,The movie was amazing.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0004,sst2,sentiment,negation,The movie was not wonderful.,The movie was wonderful.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0005,sst2,sentiment,negation,The movie was not pleasant.,The movie was pleasant.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0006,sst2,sentiment,negation,The movie was not enjoyable.,The movie was enjoyable.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0007,sst2,sentiment,negation,The movie was not fantastic.,The movie was fantastic.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0008,sst2,sentiment,negation,The movie was not positive.,The movie was positive.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0009,sst2,sentiment,negation,The movie was not loved.,The movie was loved.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0010,sst2,sentiment,negation,The movie was not bad.,The movie was bad.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0011,sst2,sentiment,negation,The movie was not terrible.,The movie was terrible.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0012,sst2,sentiment,negation,The movie was not awful.,The movie was awful.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0013,sst2,sentiment,negation,The movie was not poor.,The movie was poor.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0014,sst2,sentiment,negation,The movie was not boring.,The movie was boring.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0015,sst2,sentiment,negation,The movie was not horrible.,The movie was horrible.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0016,sst2,sentiment,negation,The movie was not disappointing.,The movie was disappointing.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0017,sst2,sentiment,negation,The movie was not negative.,The movie was negative.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0018,sst2,sentiment,negation,The movie was not hated.,The movie was hated.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_neg_0019,sst2,sentiment,negation,The movie was not worst.,The movie was worst.,directional,0.8,1.0,1.0,1.0,0.95,False,
sst2_temp_0000,sst2,sentiment,temporal_sentiment,"I used to hate this movie, but now I like it.","I used to like this movie, but now I hate it.",directional,1.0,1.0,1.0,1.0,1.0,False,
